"";"LOAN_AMOUNT";"BRANCH_REGION";"CLIENT_GENDER";"CLIENT_FAMILYSTATUS";"CLIENT_TOTALEXPERIENCE";"CLIENT_EDUCATION";"CLIENT_ACTIVITYTYPE";"CLIENT_TOGETHER.INCOME";"LOAN_OUTSTANDINGLOANSCOUNT";"LOAN_OVERDUE_EXIST_FLAG";"EMPLOYMENTTYPE";"LOAN.TERM";"ZODIAC";"ZODIAC_CHINA";"AGE";"CHANGE.WORK";"REAL_ESTATE";"CAR";"DELAY"
"807";0,417357188618398;9;0;4;-0,726136639471391;4;5;-0,16671875221354;-0,859807237634891;0;1;0,879690384637608;2;8;-0,360082950430913;0;0;1;1
"810";0,298866758833552;11;1;4;1,46966832387323;0;1;0,639955013067868;2,64551877758164;1;1;-1,25992952737276;8;0;1,14717092328576;0;0;1;1
"811";-0,288317765098668;11;0;5;0,0871244580636551;0;1;0,0797648982891123;0,892855769973374;1;1;-1,25992952737276;0;11;0,167455905369922;0;0;1;1
"812";0,298866758833552;16;1;3;-1,05144107848541;5;1;0,191802921244864;3,27721135774744;1;1;-1,25992952737276;11;8;-1,26443527466092;0;0;1;0
"813";0,298866758833552;11;1;4;1,06303777510571;0;1;0,471897978634242;0,0165242661692412;1;1;-1,25992952737276;4;1;0,921082842228258;0;0;0;1
"814";-0,559131766017761;4;1;0;0,493755006831178;4;4;-0,480425216489644;0,454690018071308;1;1;-0,191583059679487;9;5;1,14717092328576;0;0;1;0
"816";-0,534514421196938;13;0;3;2,28292942140828;0;2;-0,446813809602918;0,0165242661692412;1;1;0,879690384637608;8;2;1,75007247277243;0;1;1;1
"817";-0,254150090505094;6;1;3;-1,13276718823891;0;5;-0,0882921361445145;-1,29797298953696;0;1;-0,7213658285904;0;8;-1,26443527466092;0;1;1;0
"818";-0,581910593110876;14;1;4;-0,156853871196859;0;2;0,0237458868112367;-0,421641485732825;1;1;-1,25992952737276;0;10;-0,435445644116746;1;0;0;1
"819";3,59289428829423;6;1;4;1,14436388485922;0;3;4,85477541969108;0,0165242661692412;1;1;-1,25992952737276;5;7;0,619632067484924;0;0;1;0
"820";-0,934221081051768;5;0;3;-1,37674551749943;5;1;-0,536444227967519;0,454690018071308;1;1;-1,78971229628368;11;5;-1,49052335571842;1;1;1;1
"821";-0,758065837081322;2;1;3;0,0871244580636551;5;3;-0,566385269222214;-0,421641485732825;1;0;-1,25992952737276;3;0;1,14717092328576;0;0;1;1
"822";-0,875502855076986;14;1;4;0,656407226338188;5;0;-0,127533453684766;0,454690018071308;0;1;-1,25992952737276;0;7;0,619632067484924;0;0;1;1
"823";-0,223651526721558;18;0;3;-1,33608246262268;0;5;-0,480425216489644;-1,29797298953696;0;1;-0,191583059679487;2;8;-1,26443527466092;0;0;1;1
"824";-0,581910593110876;13;1;4;1,71364665313375;5;1;-0,233941565986991;-0,859807237634891;0;1;-1,25992952737276;6;5;1,22253361697159;0;1;1;1
"825";-0,99293987307265;14;0;5;0,412428897077674;5;5;-0,458017611898494;-0,859807237634891;1;1;-1,25992952737276;6;5;0,318181292741589;1;1;1;1
"826";0,00527449686744192;11;0;5;0,249776677570664;0;5;0,0797648982891123;0,454690018071308;0;1;-1,25992952737276;6;1;0,921082842228258;0;0;1;1
"827";3,59289428829423;6;1;4;-0,0755277614433541;0;5;0,718101534079505;0,454690018071308;1;1;1,94218289908325;4;6;-0,133994869373412;0;0;1;0
"828";-1,05165809904743;14;0;1;0,493755006831178;5;3;-0,715705064696721;-0,859807237634891;1;0;-1,25992952737276;6;9;1,29789631065743;0;0;1;1
