LOAN_PRODUCT_TYPE;LOAN_AMOUNT;BRANCH_REGION;CLIENT_GENDER;CLIENT_FAMILYSTATUS;CLIENT_TOTALEXPERIENCE;CLIENT_EDUCATION;CLIENT_ACTIVITYTYPE;CLIENT_TOGETHER INCOME;LOAN_OUTSTANDINGLOANSCOUNT;LOAN_OVERDUE_EXIST_FLAG;EMPLOYMENTTYPE;LOAN TERM;ZODIAC;ZODIAC_CHINA;AGE;CHANGE-WORK;REAL_ESTATE;CAR;DELAY
Consumer loan without income certificate;26939,66;Kiev;M;Неодружений(-на);28;Середня;торгівля та послуги;20000;1;Так;Офіційно працевлаштований;729;телец;Обезьяна;49; була зміна місця роботи;не має власної нерухомості;має власний автомобіль;No
Loan Consumer Credit;26939,66;Kharkiv region;F;Одружений (-на);36;Вища освіта;інша;12600;6;Так;Офіційно працевлаштований;729;рыбы;Дракон;53; була зміна місця роботи;має власну нерухомість;не має власного;Yes
Consumer loan with income statement;35046,73;Poltava region;M;Одружений (-на);30;Середня - технічна;виробництво;10583;3;Так;Офіційно працевлаштований;1460;лев;Лошадь;51; була зміна місця роботи;має власну нерухомість;має власний автомобіль;No
Loan Consumer Credit;15560,17;Kharkiv region;F;Неодружений(-на);3;Середня - технічна;інша;5840;5;Так;Офіційно працевлаштований;364;стрелец;Петух;23; не змінювалось місце роботи;не має власної нерухомості;не має власного;Yes
Consumer loan without income certificate;15695,07;Kirovograd region;M;Неодружений(-на);4;Вища освіта;с/господарство;7000;2;Так;Офіційно працевлаштований;1093;водолей;Обезьяна;25; була зміна місця роботи;має власну нерухомість;не має власного;Yes
Consumer loan without income certificate;20746,89;Kirovograd region;F;Неодружений(-на);25;Вища освіта;державна служба;11000;1;Ні;Офіційно працевлаштований;364;телец;Петух;48; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan with income statement;32327,59;Mykolaiv region;F;Одружений (-на);30;Середня - технічна;торгівля та послуги;17709,66;6;Так;Офіційно працевлаштований;545;стрелец;Обезьяна;48; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;5186,72;Zaporozhye region;M;Неодружений(-на);1;Середня - технічна;торгівля та послуги;5000;0;Так;Офіційно працевлаштований;364;рак;Крыса;21; була зміна місця роботи;не має власної нерухомості;не має власного;Yes
Loan Consumer Credit;116822,43;Dnipropetrovsk region;M;Неодружений(-на);13;Вища освіта;торгівля та послуги;104331;1;Ні;ФОП;1460;весы;Тигр;30; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan with income statement;56053,81;Ivano-Frankivsk region;M;Розлучений (-на);10;Середня - технічна;торгівля та послуги;16200;7;Так;Офіційно працевлаштований;1095;рак;Обезьяна;49; була зміна місця роботи;має власну нерухомість;має власний автомобіль;Yes
Consumer loan without income certificate;11210,76;Kirovograd region;F;Неодружений(-на);35;Вища освіта;державна служба;6700;3;Ні;Офіційно працевлаштований;1095;скорпион;Коза;61; не змінювалось місце роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;10775,86;Kharkiv region;M;Розлучений (-на);12;Вища освіта;інша;5100;3;Так;Офіційно працевлаштований;728;близнецы;Лошадь;39; була зміна місця роботи;не має власної нерухомості;має власний автомобіль;No
Loan Consumer Credit;3112,03;Poltava region;F;Одружений (-на);30;Середня;фінансова;4660;8;Так;Офіційно працевлаштований;364;близнецы;Собака;59; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;21551,72;Zaporozhye region;F;Розлучений (-на);20;Середня - технічна;виробництво;6500;4;Так;Офіційно працевлаштований;728;рак;Тигр;43; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;5829,6;Chernihiv region;F;Вдова (-ець);43;Середня - технічна;інша;5000;5;Так;Офіційно працевлаштований;1095;близнецы;Змея;64; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;10775,86;Mykolaiv region;M;Неодружений(-на);2;Середня - технічна;торгівля та послуги;5300;4;Ні;Офіційно працевлаштований;728;рак;Крыса;21; не змінювалось місце роботи;має власну нерухомість;не має власного;Yes
Consumer loan without income certificate;16163,79;Lviv region;M;Одружений (-на);10;Вища освіта;виробництво;8000;3;Так;Офіційно працевлаштований;728;овен;Тигр;31; була зміна місця роботи;не має власної нерухомості;не має власного;Yes
Consumer loan without income certificate;28026,91;Poltava region;M;Одружений (-на);4;Середня - технічна;торгівля та послуги;12000;5;Так;Офіційно працевлаштований;1095;близнецы;Крыса;33; не змінювалось місце роботи;не має власної нерухомості;не має власного;Yes
Consumer loan without income certificate;22421,52;Kharkiv;F;Неодружений(-на);2;Вища освіта;торгівля та послуги;7000;1;Ні;Офіційно працевлаштований;1095;близнецы;Свинья;22; була зміна місця роботи;не має власної нерухомості;не має власного;Yes
